danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.674,0.432,-8.848,0.199,0.485,0.0,0.212,0.613,139.878,3VV8J6Zy11zsU4yBGroexd,114000
0.691,0.701,-5.534,0.075,0.00176,0.000196,0.109,0.227,140.016,5MNTDV1f25VARdFXDGfG4V,161607
0.725,0.735,-7.023,0.08,0.551,1.61e-06,0.0937,0.635,82.449,5QwUMTjMIbnjKL1ucRwLZ7,128168
0.612,0.735,-5.074,0.0282,0.00202,0.00118,0.328,0.783,126.326,1OutzYv6YiN93lrT3pJsWR,226053
0.706,0.71,-8.811,0.0535,0.00845,0.0,0.345,0.417,96.236,1tKdNx0ZsnFlf5h5e0if61,109063
0.796,0.525,-9.014,0.164,0.153,0.0118,0.0987,0.513,119.999,0gMN9wHGivtQnnzDtsbROY,143359
0.489,0.867,-3.121,0.071,0.025,0.0,0.586,0.409,162.131,3jZomvOBa5qfTo5HkqI1p5,157293
0.662,0.567,-8.899,0.0598,0.283,0.0,0.0855,0.233,160.019,6YLfI73bXtyZQx1KxI08PG,187020
0.87,0.365,-12.753,0.59,0.0712,7.12e-06,0.0923,0.184,139.895,38mNgoRMYSdg2n8Tt98R8L,111429
0.852,0.757,-4.165,0.144,0.0387,0.0,0.118,0.351,137.97,10XGXIxAjlEhAPdZKcYq66,118261
0.696,0.676,-5.697,0.117,0.196,0.0,0.215,0.611,170.137,0YJ9M4rHhaNWvaK5jFdYUw,140400
0.789,0.693,-9.263,0.262,0.483,7.79e-05,0.241,0.665,88.01,3tmpJN9fGVkrhlNkZVgH90,185455
0.557,0.803,-3.599,0.213,0.0124,1.61e-06,0.737,0.657,92.134,0l0CvurVUrr2w3Jj1hOVFc,213507
0.627,0.747,-4.485,0.043,0.0231,0.0,0.108,0.738,95.045,59h3OsHU7JyeL4xiMF0Yti,146581
0.669,0.827,-5.669,0.0259,0.00661,0.0374,0.173,0.487,126.998,3ZcJ1HVEYYZ6BnEKli5OHQ,275079
0.747,0.937,-5.746,0.0453,0.0208,0.0,0.29,0.739,103.976,3bC1ahPIYt1btJzSSEyyrF,224653
0.731,0.601,-7.027,0.286,0.0469,0.0,0.0966,0.494,160.075,0DjPcxQ7xUsNyG7vSfWf3K,210233
0.705,0.872,-3.557,0.126,0.0618,0.0,0.227,0.75,93.628,2QsoVMTKj5m5kgztTOep98,207040
0.81,0.489,-6.814,0.0728,0.122,0.0,0.115,0.211,118.01,6djizFmDm2ftxFmJitNl3I,174507
0.479,0.607,-4.558,0.0411,0.0109,0.00263,0.462,0.153,111.138,64z3gz3wJ3TQOSkoDWjZfz,183085
0.513,0.721,-7.373,0.103,0.0186,0.0,0.279,0.422,82.853,76YOE6dl0uAKQNxqJZ5v42,224003
0.726,0.787,-2.494,0.0737,0.009,0.0,0.0596,0.888,124.99,4cluDES4hQEUhmXj6TXkSo,199987
0.624,0.876,-3.374,0.1,0.0735,0.0,0.327,0.781,99.943,0afhq8XCExXpqazXczTSve,170827
0.843,0.28,-9.723,0.336,0.156,1.38e-05,0.134,0.407,160.005,7Hij0MzGIK43J8sQsrzcdB,156060
0.509,0.671,-5.709,0.0678,0.304,0.0,0.0452,0.55,118.413,7x5xYW5W42OGPAdHUyyguy,227480
0.456,0.573,-3.866,0.0275,0.578,3.05e-06,0.114,0.0992,76.19,3TCauNPqFiniaYHBvEVoHG,238560
0.879,0.655,-6.672,0.104,0.0476,0.0,0.0965,0.348,124.981,2q1O82eucbo0gxLyClauLU,140160
0.798,0.853,-3.889,0.244,0.379,0.000568,0.113,0.71,112.12,0ciLimNHfOzzF2U6acR9m3,203962
0.934,0.694,-5.849,0.101,0.0971,1.2e-06,0.477,0.833,123.831,3KwwE4sgCzMaKWq6QBebmX,181240
0.76,0.703,-5.412,0.054,0.103,0.0,0.0913,0.57,95.997,1u8c2t2Cy7UBoG4ArRcF5g,231827
0.628,0.676,-5.911,0.0916,0.00957,2.65e-05,0.121,0.75,85.984,0VwNdo84DaVYLIkbVO86ND,193147
0.828,0.818,-5.331,0.0948,0.0017,0.371,0.203,0.431,125.072,6yMhdnw1QFll8n3KuFmJ1s,169695
0.482,0.706,-5.762,0.0607,0.135,0.00106,0.105,0.144,92.513,4esOae7i4rqTbAu9o5Pxco,224920
0.751,0.834,-5.444,0.0437,0.3,1.77e-05,0.355,0.894,95.053,6naxalmIoLFWR0siv8dnQQ,211160
0.73,0.703,-5.672,0.0369,0.109,0.0,0.0657,0.595,138.113,2K87XMYnUMqLcX3zvtAF4G,192120
0.912,0.716,-4.141,0.0697,0.0904,0.0,0.0491,0.377,94.981,3W3KtDwAIg3mAruSpnfG3Q,199938
0.807,0.887,-3.726,0.0503,0.0573,2.87e-06,0.124,0.961,134.052,5jE48hhRu8E6zBDPRSkEq7,187920
0.774,0.838,-3.914,0.114,0.0249,0.025,0.242,0.924,143.04,6I9VzXrHxO9rA9A5euc8Ak,198800
0.756,0.572,-7.019,0.0763,0.0478,0.0,0.0853,0.417,102.986,10GJQkjRJcZhGTLagFOC62,204400
0.661,0.729,-6.561,0.0376,0.00215,0.0013,0.0477,0.668,103.987,6ce41JVa6KFaryfmC2bu2W,232120
0.719,0.671,-6.279,0.0336,0.0372,8.21e-06,0.12,0.786,130.027,13P5rwmk2EsoFRIz9UCeh9,237627
0.691,0.795,-4.021,0.0355,0.000812,1.02e-06,0.156,0.876,133.971,2k3MdyqMHmfZubFg3pmtby,227333
0.491,0.82,-4.782,0.0342,0.0226,0.000131,0.0695,0.413,174.046,2cVJq55ISQ7LNkWibZzRSY,187586
0.569,0.918,-2.509,0.0279,0.00241,2.98e-05,0.307,0.541,128.037,08bg5QA5OQ31h73avz0pXP,171328
0.65,0.967,-4.917,0.0836,0.0287,0.000147,0.386,0.264,128.012,3Sm4xtt7il1cfs3X8vN88c,157500
0.706,0.728,-3.602,0.0852,0.123,0.0,0.185,0.851,121.017,3xSp2wM7K4wrjZivuCRwox,201600
0.612,0.877,-4.43,0.064,0.000992,0.00563,0.462,0.38,131.068,02d1E4NRuh7OEQO4vCb9PD,264520
0.614,0.928,-4.806,0.0516,0.0408,0.00104,0.0845,0.879,172.656,4r8lRYnoOGdEi6YyI5OC1o,200560
0.64,0.533,-6.596,0.0706,0.119,0.0,0.0864,0.515,99.968,3eR23VReFzcdmS7TYCrhCe,220781
0.532,0.869,-5.094,0.172,0.157,0.00508,0.136,0.422,159.803,1i1fxkWeaMmKEB4T7zqbzK,208373
0.669,0.78,-4.287,0.053,0.0265,1.63e-06,0.143,0.738,139.945,5ka2ajep9OAvU5Sgduhiex,212333
0.554,0.772,-4.821,0.0418,0.00487,6.6e-06,0.354,0.455,179.984,6F5c58TMEs1byxUstkzVeM,223546
0.668,0.725,-6.127,0.266,0.0102,0.000479,0.0561,0.729,191.944,7xHWNBFm6ObGEQPaUxHuKO,210227
0.452,0.563,-6.607,0.0272,0.144,0.0,0.143,0.209,137.715,3ZHfX6kbiY7JVsB63lLOLu,267653
0.759,0.699,-5.745,0.0307,0.202,0.000131,0.443,0.907,92.96,3MjUtNVVq3C8Fn0MP3zhXa,211067
0.674,0.915,-3.999,0.0411,0.0282,0.00337,0.273,0.78,126.038,6M6Tk58pQvABy6ru66dY3d,191293
0.755,0.837,-2.718,0.142,0.0991,0.0,0.289,0.714,120.028,0HPD5WQqrq7wPWR7P7Dw1i,199693
0.209,0.417,-8.74,0.0338,0.164,0.00196,0.113,0.124,138.178,7LVHVU3tWfcxj5aiPFEW4Q,295533
0.69,0.897,-4.696,0.0506,0.0142,0.0,0.108,0.849,140.05,2sEk5R8ErGIFxbZ7rX6S2S,221493
0.783,0.58,-6.548,0.0408,0.0114,2.28e-06,0.108,0.66,120.021,20I6sIOMTCkB6w7ryavxtO,193400
0.622,0.469,-6.798,0.0363,0.00454,2.25e-06,0.0335,0.679,77.019,6FB3v4YcR57y4tXFcdxI1E,219720
0.557,0.442,-7.224,0.0243,0.731,1.46e-05,0.11,0.213,146.277,75JFxkI2RXiU7L9VXzMkle,309600
0.564,0.71,-4.92,0.0461,0.00125,0.0,0.109,0.393,91.972,6O20JhBJPePEkBdrB5sqRx,225147
0.817,0.633,-6.234,0.0475,0.209,1.24e-05,0.117,0.57,98.033,5NFCgUd9vBbHTgtklydT5W,195918
0.794,0.711,-5.124,0.0699,0.3,0.0,0.0955,0.955,174.915,386RUes7n1uM1yfzgeUuwp,189109
0.578,0.939,-3.676,0.0654,0.00421,0.231,0.521,0.216,128.12,6YVwfOA1i0aLivDlrLaHOC,136875
0.629,0.696,-5.572,0.348,0.0195,0.0,0.0554,0.623,93.034,3QHPHLAkYV5cQBUYs6rowx,207627
0.732,0.396,-9.348,0.0286,0.0841,3.58e-05,0.105,0.548,90.024,6i0V12jOa3mr6uu4WYhUBr,195920
0.677,0.485,-5.795,0.0361,0.529,2.04e-05,0.0766,0.493,82.001,7795WJLVKJoAyVoOtCWqXN,239317
0.516,0.595,-4.63,0.0313,0.0275,0.0,0.109,0.222,119.972,5Ohxk2dO5COHF1krpoPigN,340707
0.775,0.904,-4.08,0.0437,0.0271,0.000303,0.06,0.84,130.009,5st5644IlBmKiiRE73UsoZ,219893
0.7,0.709,-5.006,0.0838,0.0048,0.0,0.029,0.624,122.019,1gv4xPanImH17bKZ9rOveR,202960
0.81,0.793,-9.404,0.0403,0.0378,1.77e-06,0.072,0.863,116.05,69kOkLUCkxIZYexIgSG8rq,369627
0.765,0.473,-5.829,0.0514,0.287,0.0,0.391,0.34,119.992,5kqIPrATaCc2LqxVWzQGbk,237300
0.578,0.926,-3.689,0.0548,0.00472,0.0127,0.14,0.877,149.976,2z4U9d5OAA4YLNXoCgioxo,220707
0.711,0.906,-2.671,0.0284,0.00952,1.64e-05,0.153,0.824,125.916,1rhXXcrYp9RRObN5gsmqCU,157153
0.559,0.777,-5.031,0.0432,0.31,0.0,0.105,0.329,87.016,4iJrZGr7ycnKyFxa1pfEHn,231212
